"","SpecCode","Species","autoctr","StockCode","MaturityRefNo","Sex","AgeMatMin","AgeMatMin2","AgeMatRef","tm","Number","r2","SE_tm","SD_tm","LCL_tm","UCL_tm","LengthMatMin","LengthMatMin2","Type1","LengthMatRef","Lm","SE_Lm","SD_Lm","LCL_Lm","UCL_Lm","Locality","C_Code","E_CODE","Comment","Entered","DateEntered","Modified","DateModified","Expert","DateChecked","TS"
"113",1164,"Sparus aurata",6126,1180,4781,"female",2,3,4781,NA,NA,NA,NA,NA,NA,NA,33,40,"TL",4781,NA,NA,NA,NA,NA,"eastern Atlantic and Mediterranean seas",NA,NA,NA,2,2008-01-09 00:00:00,NA,2008-01-09 00:00:00,NA,NA,NA
"114",1164,"Sparus aurata",6127,1180,4781,"male",1,2,4781,NA,NA,NA,NA,NA,NA,NA,20,30,"TL",4781,NA,NA,NA,NA,NA,"eastern Atlantic and Mediterranean seas",NA,NA,NA,2,2008-01-09 00:00:00,NA,2008-01-09 00:00:00,NA,NA,NA
"115",1164,"Sparus aurata",1330,1180,7253,"male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,"Gulf of Lion","250",NA,NA,3,1996-10-20 00:00:00,NA,1996-10-20 00:00:00,NA,NA,NA
"116",4580,"Symphodus rostratus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"117",46340,"Parablennius rouxi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"118",26272,"Parablennius zvonimiri",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"119",439,"Dentex dentex",754,453,30665,"female",2,3,30665,2.20000004768372,NA,NA,NA,NA,NA,NA,NA,NA,"TL",30665,34.5999984741211,NA,NA,NA,NA,"Mallorca, 1993-95
Mallorca, 1993-95","724",NA,NA,3,1999-07-25 00:00:00,NA,2016-06-21 00:00:00,NA,NA,NA
"120",439,"Dentex dentex",755,453,30665,"male",2,3,30665,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TL",30665,50,NA,NA,NA,NA,"Mallorca, 1993-95
Mallorca, 1993-95","724",NA,NA,3,1999-07-25 00:00:00,NA,1999-07-25 00:00:00,NA,NA,NA
"121",63,"Dicentrarchus labrax",174,73,2285,"female",NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,"SL",NA,26,NA,NA,NA,NA,"Tunisia","788",NA,NA,22,1992-03-09 00:00:00,2,1994-02-18 00:00:00,NA,NA,NA
"122",63,"Dicentrarchus labrax",175,73,2285,"male",NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,"SL",NA,19,NA,NA,NA,NA,"Tunisia","788",NA,NA,22,1992-03-09 00:00:00,2,1994-02-18 00:00:00,NA,NA,NA
